# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413394887.356135606765747,0.00281,0.00006,0.00027,0.00000,0.00000,0.00386,0.00700
1413394887.405733346939087,0.00269,0.00007,0.00073,0.00000,0.00217,0.00117,0.00684
1413394887.455460786819458,0.00416,0.00009,0.00005,0.00076,0.00000,0.00121,0.00627
1413394887.505753755569458,0.00369,0.00009,0.00031,0.00100,0.00000,0.00138,0.00647
1413394887.555613279342651,0.00215,0.00009,0.00011,0.00044,0.00000,0.00141,0.00420
1413394887.605639696121216,0.00229,0.00009,0.00015,0.00038,0.00012,0.00134,0.00436
1413394887.655261278152466,0.00422,0.00009,0.00004,0.00054,0.00000,0.00129,0.00619
1413394887.704941034317017,0.00327,0.00010,0.00011,0.00064,0.00008,0.00123,0.00543
1413394887.754361152648926,0.00243,0.00009,0.00017,0.00067,0.00349,0.00238,0.00923
1413394887.804639816284180,0.00213,0.00009,0.00006,0.00086,0.00054,0.00135,0.00503
1413394887.854291200637817,0.00305,0.00012,0.00002,0.00081,0.00101,0.00121,0.00622
1413394887.904542446136475,0.00297,0.00010,0.00008,0.00078,0.00027,0.00136,0.00556
1413394887.955101728439331,0.00386,0.00012,0.00003,0.00170,0.00089,0.00158,0.00818
1413394888.005837917327881,0.00297,0.00011,0.00011,0.00131,0.01119,0.00135,0.01705
1413394888.056073665618896,0.00329,0.00013,0.00014,0.00279,0.00055,0.00130,0.00820
1413394888.105497121810913,0.00321,0.00013,0.00017,0.00254,0.00359,0.00138,0.01103
1413394888.155210018157959,0.00278,0.00012,0.00017,0.00284,0.00016,0.00131,0.00738
1413394888.205408573150635,0.00328,0.00012,0.00027,0.00435,0.00000,0.00143,0.00946
1413394888.255316972732544,0.00232,0.00012,0.00022,0.00238,0.00015,0.00133,0.00652
1413394888.305504560470581,0.00259,0.00011,0.00021,0.00242,0.00315,0.00148,0.00995
1413394888.355729579925537,0.00330,0.00016,0.00015,0.00382,0.00001,0.00125,0.00869
1413394888.405904769897461,0.00272,0.00012,0.00041,0.00410,0.00083,0.00157,0.00975
1413394888.456091642379761,0.00347,0.00013,0.00026,0.00325,0.00063,0.00147,0.00919
1413394888.506137609481812,0.00286,0.00012,0.00012,0.00257,0.00000,0.00254,0.00821
1413394888.556163072586060,0.01023,0.00013,0.00009,0.00262,0.00000,0.00233,0.01539
1413394888.606178283691406,0.00288,0.00011,0.00050,0.00405,0.00090,0.00207,0.01051
1413394888.656203985214233,0.00288,0.00011,0.00037,0.00230,0.00092,0.00144,0.00802
1413394888.706131458282471,0.00261,0.00013,0.00053,0.00264,0.00043,0.00184,0.00819
1413394888.756086826324463,0.00256,0.00011,0.00022,0.00255,0.00179,0.00137,0.00859
1413394888.806018829345703,0.00350,0.00013,0.00030,0.00361,0.00178,0.00136,0.01068
1413394888.855993509292603,0.00492,0.00013,0.00168,0.00337,0.00000,0.00180,0.01189
1413394888.905957221984863,0.00360,0.00014,0.00026,0.00231,0.00024,0.00138,0.00793
1413394888.955939292907715,0.00282,0.00010,0.00019,0.00237,0.00043,0.00136,0.00727
1413394889.005870580673218,0.00267,0.00013,0.00139,0.00231,0.00164,0.00133,0.00947
1413394889.055853128433228,0.00335,0.00011,0.00088,0.00215,0.00043,0.00149,0.00840
1413394889.105852842330933,0.00358,0.00016,0.00042,0.00461,0.00022,0.00158,0.01057
1413394889.155877828598022,0.00339,0.00012,0.00027,0.00245,0.00046,0.00349,0.01018
1413394889.205745220184326,0.00375,0.00012,0.00044,0.00244,0.00501,0.00122,0.01299
1413394889.255644083023071,0.00321,0.00013,0.00130,0.00318,0.00003,0.00137,0.00922
1413394889.305552959442139,0.00356,0.00013,0.00031,0.00185,0.00011,0.00165,0.00759
1413394889.355486869812012,0.00299,0.00010,0.00017,0.00430,0.00010,0.00155,0.00921
1413394889.405578374862671,0.00853,0.00015,0.00047,0.00149,0.00282,0.00130,0.01474
